"ID","ID DEPATAMENTO","DEPARTAMENTO","ID MUNICIPIO","MUNICIPIO","ID LOCALIDAD","LOCALIDAD","AÑO SERVICIO","MES SERVICIO","ENERGÍA ACTIVA","ENERGÍA REACTIVA","POTENCIA MÁXIMA","DÍA DE DEMANDA MÁXIMA","FECHA DE DEMANDA MÁXIMA","PROMEDIO DIARIO EN HORAS"
1,91,"amazonas",91001,"leticia",91001000,"leticia (leticia - amazonas)",2024,6,164425,62119,35660,"jueves","2024-06-20T15:30",24
2,91,"amazonas",91540,"puerto nariño",91540000,"puerto nariño (puerto nariño - amazonas)",2024,6,127838,40378,256,"miercoles","2024-06-05T18:15",24
3,91,"amazonas",91798,"tarapaca (anm)",91798000,"tarapaca (tarapaca (anm) - amazonas)",2024,6,26578,11917,10143,"jueves","2024-06-20T18:30",10.18
4,88,"archipielago de san andres y providencia",88564,"providencia",88564000,"providencia (providencia - archipielago de san andres y providencia )",2024,6,164425,62119,35660,"miercoles","2024-06-12T14:15",24
5,13,"bolivar",13001,"cartagena de indias",13001007,"isla fuerte (cartagena de indias - bolivar)",2024,6,60724,28336,26563,"domingo","2024-06-30T20:00",9.4
6,13,"bolivar",13001,"cartagena de indias",13001017,"santa cruz del islote (cartagena de indias - bolivar)",2024,6,12040,3944,5341,"viernes","2024-06-21T22:30",9.24
7,18,"caqueta",18150,"cartagena del chaira",18150001,"remolino del caguan (cartagena del chaira - caqueta)",2024,6,18647,8183,10426,"sabado","2024-06-22T18:45",7.43
8,18,"caqueta",18150,"cartagena del chaira",18150002,"santa fe del caguan (cartagena del chaira - caqueta)",2024,6,4127,1932,394,"sabado","2024-06-15T18:00",4.27
9,18,"caqueta",18753,"san vicente del caguan",18753002,"guacamayas (san vicente del caguan - caqueta)",2024,6,8770,3282,3235,"sabado","2024-06-29T19:45",14.56
10,19,"cauca",19318,"guapi",19318008,"limones (guapi - cauca)",2024,6,9158,4037,4334,"jueves","2024-06-27T19:30",9.22
11,19,"cauca",19318,"guapi",19318013,"san antonio de guajui (guapi - cauca)",2024,6,12520,6833,5459,"miercoles","2024-06-12T18:30",9.36
12,19,"cauca",19418,"lopez de micay",19418009,"noanamito (lopez de micay - cauca)",2024,6,6719,3215,36,"domingo","2024-06-02T19:30",8.22
