ID,ID DEPATAMENTO,DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,DÍA DE DEMANDA MÁXIMA,FECHA DE DEMANDA MÁXIMA,PROMEDIO DIARIO EN HORAS
1232,0,cauca,19809,timbiqui,19809014,chacon (timbiqui - cauca),2023,2,3457,909,2576,lunes,2023-02-06T19:00,5.57
3919,27,choco,27077,bajo baudo (pizarro),27077000,pizarro (bajo baudo (pizarro) - choco),2020,4,164425,62119,35660,lunes,2020-04-20T19:30,22.35
3453,18,caqueta,18753,san vicente del caguan,18753009,puerto betania (san vicente del caguan - caqueta),2020,10,5015,1873,412,domingo,2020-10-04T19:00,5.18
1942,27,choco,27800,unguia,27800001,titumate (unguia - choco),2022,5,17922,4439,10402,domingo,2022-05-01T19:15,8.17
2454,91,amazonas,91001,leticia,91001000,leticia (leticia - amazonas),2020,12,164425,62119,35660,miercoles,2020-12-02T23:30,24.0
2560,88,"archipielago de san andres, providencia y santa catalina",88564,providencia,88564000,providencia (providencia - archipielago de san andres y providencia),2021,9,164425,62119,35660,jueves,2021-09-16T21:15,24.0
3138,18,caqueta,18753,san vicente del caguan,18753015,guayabal (san vicente del caguan - caqueta),2021,2,5869,3247,38,domingo,2021-02-21T23:00,7.13
844,52,nariño,52250,el charco,52250007,san jose del tapaje (el charco - nariño),2023,8,11974,3440,80,lunes,2023-08-28T21:00,8.22
4644,86,putumayo,86573,puerto leguizamo,86573009,piñuña negro,2025,3,4498,2570,384,sabado,2025-03-01T19:00,5.44
292,94,guainia,94001,inirida,94001966,laguna colorada alta (inirida - guainia),2024,1,7973,286,2633,martes,2024-01-02T18:15,15.43
2537,52,nariño,52835,san andres de tumaco,52835055,bocas de curay (tumaco - nariño),2021,10,9440,2821,576,domingo,2021-10-31T23:45,7.29
1025,27,choco,27372,jurado,27372000,jurado (jurado - choco),2023,5,164425,62119,34304,viernes,2023-05-12T19:45,23.55
4634,94,guainia,94001,inirida,94001905,chorro bocon,2025,2,4790,7,1736,jueves,2025-02-27T20:00,16.36
3468,19,cauca,19809,timbiqui,19809008,santa maria (timbiqui - cauca),2020,10,17565,6885,7776,martes,2020-10-06T20:00,9.39
4631,91,amazonas,91540,puerto nariño,91540000,puerto nariño,2025,2,116955,36836,2624,martes,2025-02-04T14:30,24.0
1245,27,choco,27077,bajo baudo (pizarro),27077016,siviru (bajo baudo - choco),2023,2,6539,2563,3968,domingo,2023-02-15T19:15,8.27
24,27,choco,27077,bajo baudo,27077029,firme de usarga (bajo baudo (pizarro) - choco),2024,6,906,394,721,domingo,2024-06-30T19:15,5.51
1184,52,nariño,52250,el charco,52250023,bazan (el charco - nariño),2023,3,23633,9050,1056,martes,2023-03-14T19:15,9.07
2260,27,choco,27425,medio atrato (bete),27425008,san roque (medio atrato (bete) - choco),2022,1,4040,1287,2443,sabado,2022-01-22T19:15,6.38
1057,99,vichada,99001,puerto carreño,99001000,puerto carreño (puerto carreño - vichada),2023,5,164425,62119,35660,lunes,2023-05-08T14:30,23.52
3159,27,choco,27075,bahia solano (mutis),27075000,ciudad mutis (bahia solano - choco),2021,2,164425,62119,35660,jueves,2021-02-25T19:45,23.58
3889,99,vichada,99001,puerto carreño,99001002,casuarito (puerto carreño - vichada),2020,5,25270,14477,1232,martes,2020-05-12T19:45,8.52
3242,27,choco,27077,bajo baudo (pizarro),27077905,buenavista (bajo baudo (pizarro) - choco),2021,1,5223,675,36,sabado,2021-01-02T16:00,7.43
3127,91,amazonas,91001,leticia,91001000,leticia (leticia - amazonas),2021,2,164425,62119,35660,lunes,2021-02-15T15:15,24.0
4082,27,choco,27495,nuqui,27495000,nuqui (nuqui - choco),2020,2,164425,60988,5273,martes,2020-02-18T20:15,19.0
34,27,choco,27425,medio atrato,27425000,bete (medio atrato - choco),2024,6,16199,8094,64,miercoles,2024-06-19T12:00,11.39
4119,99,vichada,99524,la primavera,99524000,la primavera (la primavera - vichada),2020,2,164425,62119,7406,miercoles,2020-02-26T18:45,24.0
2804,52,nariño,52835,san andres de tumaco,52835016,pital de la costa (tumaco - nariño),2021,7,19896,11314,100,sabado,2021-07-31T00:00,8.45
2300,88,"archipielago de san andres, providencia y santa catalina",88001,san andres,88001000,san andres (san andres - archipielago de san andres y providencia),2021,12,164425,62119,35660,jueves,2021-12-30T15:45,23.59
2585,27,choco,27006,acandi,27006003,capurgana (acandi - choco),2021,9,164425,62119,35660,viernes,2021-09-17T21:15,19.26
1174,27,choco,27001,quibdo,27001029,tagachi (quibdo - choco),2023,3,9585,3426,5386,martes,2023-03-07T13:30,8.12
2906,27,choco,27075,bahia solano (mutis),27075000,ciudad mutis (bahia solano - choco),2021,5,164425,62119,35660,miercoles,2021-05-26T19:30,23.54
4405,47,magdalena,47189,cienaga,47189018,palmor (cienaga - magdalena),2024,11,108779,49619,22298,sabado,2024-11-30T18:00,21.71
1103,27,choco,27800,unguia,27800000,unguia (unguia - choco),2023,4,164425,62119,35660,domingo,2023-04-02T19:15,22.12
4089,94,guainia,94001,inirida,94001000,inirida (inirida - guainia),2020,2,164425,62119,35660,lunes,2020-02-17T14:45,23.56
228,97,vaupes,97161,caruru,97161000,caruru (caruru - vaupes),2024,5,0,0,0,miercoles,2024-05-01T12:00,0.0
4339,52,nariño,52696,santa barbara,52696014,la ensenada (santa barbara - nariño),2024,10,3437,1564,20,martes,2024-10-01T19:45,7.0
4507,13,bolivar,13001,cartagena de indias,13001007,isla fuerte (cartagena de indias - bolivar),2024,9,31801,14619,2535,sabado,2024-09-14T22:15,5.35
3182,50,meta,50325,mapiripan,50325000,mapiripan (mapiripan - meta),2021,2,140160,59411,31108,miercoles,2021-02-10T18:45,23.36
3935,94,guainia,94001,inirida,94001000,inirida (inirida - guainia),2020,4,164425,62119,35660,jueves,2020-04-16T14:30,24.0
539,27,choco,27075,bahia solano,27075002,el valle (bahia solano - choco),2023,12,164425,62119,35660,viernes,2023-12-22T19:15,23.54
1486,27,choco,27495,nuqui,27495912,comunidad indigena de pangui - el yucal (nuqui - choco),2022,11,7166,1620,1155,lunes,2022-11-07T15:00,22.52
4285,18,caqueta,18753,san vicente del caguan,18753009,puerto betania (san vicente del caguan - caqueta),2024,10,4898,1658,392,martes,2024-10-22T19:30,5.19
